Index,Last Name,Given Name,Year,Location,Citation,ACM Fellow Profile,Google Scholar Profile,Affiliation,Interests
1,Hassan,Ahmed E.,2022,Canada,For contributions to the quality assurance of large scale software systems,https://awards.acm.org/award-recipients/hassan_3864774,https://scholar.google.com/citations?user=9hwXx34AAAAJ,"ACM Fellow, IEEE Fellow, NSERC Steacie Fellow, ACM Influential/IEEE Distinguished …",Mining Software Repositories Software Analytics Empirical Software Engineering Software Performance Engineering AIOps
2,Pothen,Alex,2022,USA,"For contributions to and leadership in combinatorial scientific computing
",https://awards.acm.org/award-recipients/pothen_5005655,https://scholar.google.com/citations?user=_Fah5fwAAAAJ,"Professor of Computer Science, Purdue University",Combinatorial Scientific Computing Parallel Computing Graph Algorithms Bioinformatics
3,Kemper,Alfons,2022,Germany,"For contributions to database management system technology
",https://awards.acm.org/award-recipients/kemper_4001152,,,[]
4,Anandkumar,Anima,2022,USA,For contributions to tensor methods for probabilistic models and neural operators,https://awards.acm.org/award-recipients/anandkumar_6110403,https://scholar.google.com/citations?user=bEcLezcAAAAJ,California Institute of Technology and NVIDIA,Machine Learning and Artificial Intelligence
5,Sabharwal,Ashutosh,2022,USA,For the invention of full-duplex wireless and open-source wireless research platforms,https://awards.acm.org/award-recipients/sabharwal_6171395,https://scholar.google.com/citations?user=MiqMO-kAAAAJ,"Department Chair and Ernest D. Butcher Professor, Department of Electrical and Computer …",Wireless Communications Wireless Platforms Digital Health Medical Devices Quantitative Behavioral Sciences
6,Curtis,Bill,2022,USA,"For contributions to software process,  software measurement, and human factors in software engineering",https://awards.acm.org/award-recipients/curtis_1822345,https://scholar.google.com/citations?user=D5IKxV8AAAAJ,CAST Software,software engineering human-computer interaction software management workforce management coaching behavior
7,Barak,Boaz,2022,USA,"For contributions to theoretical computer science, in particular cryptography and computational complexity, and service to the theory community",https://awards.acm.org/award-recipients/barak_5889067,https://scholar.google.com/citations?user=I0fbJ6cAAAAJ,Harvard University,Computer Science Computational Complexity Algorithms Cryptography Optimization
8,de Supinski,Bronis R.,2022,USA,For contributions to the design of large-scale systems and their programming systems and software,https://awards.acm.org/award-recipients/desupinski_4862751,https://scholar.google.com/citations?user=iuEBM58AAAAJ,Lawrence Livermore National Laboratory,
9,Kuo,Chung C,2022,USA,"For contributions to technologies, applications, and mentorship in visual computing",https://awards.acm.org/award-recipients/kuo_3398864,https://scholar.google.com/citations?user=7zNrjLsAAAAJ,"Distinguished Professor, National Taiwan University of Science & Technology",Materials Science
10,Daskalakis,Constantinos,2022,USA,"For fundamental contributions to algorithmic game theory, mechanism design, sublinear algorithms and theoretical machine learning",https://awards.acm.org/award-recipients/daskalakis_4121823,https://scholar.google.com/citations?user=iTv2cOgAAAAJ,"Professor of Computer Science, MIT",theoretical computer science economics probability theory learning statistics
11,Cortes,Corinna,2022,USA,"For theoretical and practical contributions to machine learning, industrial leadership, and service to the field",https://awards.acm.org/award-recipients/cortes_5490222,https://scholar.google.com/citations?user=U_IVY50AAAAJ,"Google Research, NY",Machine Learning Datamining
12,Gotsman,Craig,2022,USA,"For contributions to computer graphics, geometry processing, and visual computing
",https://awards.acm.org/award-recipients/gotsman_3554902,https://scholar.google.com/citations?user=0JRBzUEAAAAJ,"Distinguished Professor and Dean, Ying Wu College of Computing, NJIT",Computer Graphics
13,Mount,David M,2022,USA,For contributions to algorithms and data structures for geometric data analysis and retrieval,https://awards.acm.org/award-recipients/mount_2204550,https://scholar.google.com/citations?user=v6PsQKIAAAAJ,"Professor of Computer Science, University of Maryland",Computational geometry geometric data structures
14,Zorin,Denis,2022,USA,"For contributions to computer graphics, geometry processing, and scientific 
computing",https://awards.acm.org/award-recipients/zorin_5054197,https://scholar.google.com/citations?user=cagVT0AAAAAJ,"Professor of Computer Science and Mathematics, Courant Institute, NYU",
15,Yu,Dong,2022,USA,"For contributions in speech processing and deep learning applications
",https://awards.acm.org/award-recipients/yu_7075850,https://scholar.google.com/citations?user=tMY31_gAAAAJ,"Distinguished Scientist @ Tencent AI Lab, ACM/IEEE/ISCA Fellow",automatic speech recognition speech processing natural language processing
16,Chi,Ed H.,2022,USA,"For contributions to machine learning and data mining techniques for social computing and recommender systems
",https://awards.acm.org/award-recipients/chi_4183398,https://scholar.google.com/citations?user=VuWl-KUAAAAJ,Google Research / Google Brain,Machine Learning Recommenders Dialog Systems HCI Social Computing
17,Koushanfar,Farinaz,2022,USA,"For contributions to secure computing and privacy-preserving machine learning
",https://awards.acm.org/award-recipients/koushanfar_2784014,https://scholar.google.com/citations?user=3XnMVUAAAAAJ,"Professor and Henry Booker Faculty Scholar of ECE, UC San Diego",Embedded and cyber-physical systems security and trust adaptive computing machine learning synthesis and customization
18,Li,Hang,2022,China,For contributions to machine learning for search and dialogue,https://awards.acm.org/award-recipients/li_5842974,https://scholar.google.com/citations?user=_ZYl_aIAAAAJ,Harvard Medical School  / MGH,Biostatistics Clinical Research
